,Name,Country,Type,Year,Price,Rating,Review,Size,ABV
10, New Zealand Sauvignon Mix ,Read more," New Zealand Sauvignon Mix The must-have mix for New Zealand Sauvignon fans … SAVE up to £136 Enjoy exuberant aromas and zesty, tropical fruit flavours courtesy of New Zealand’s ‘small, but perfectly formed’ 2021 vintage. Highlights here include bestselling Hole in the Clouds and Split Rock, while you can also take a step up in terms of luxury with Rapaura Springs Reserve (normally £18.99). ",[],Not found,4.4,['1385'], 750.00 ml , 12.5% ABV 
11, Argentinian Malbec Mix ,Read more," Argentinian Malbec Mix Big, bold, hearty Malbecs of Argentina – SAVE up to £80 Ideal for the first roast dinners of autumn, Argentinian Malbec always hits the spot with its bold flavours, velvety texture and ripe fruit. Two bestsellers from Opi Sadler lead the way (both with Gold medals), while one customer was so impressed by the Inca Tree from Mendoza that they awarded it an ‘A+++’ rating! ",[],Not found,4.0,['2755'], 750.00 ml , 13.0% ABV 
12, The Black Stump Durif Shiraz 2021 , Australia , Red - Full bodied ,['2021'],£11.99,4.5/5,['7442'], 750.00 ml , 14.5% ABV 
13, Vinha do Fava Reserva 2020 , Portugal , Red - Full bodied ,['2020'],£15.49,4.5/5,['543'], 750.00 ml , 14.5% ABV 
14, Cabalié (1 Litre Wine Box) 2021 , France , Red - Medium to full bodied ,['2021'],£9.99,4.8/5,['10'], 1000.00 ml , 13.0% ABV 
15, Pillastro Primitivo 2020 , Italy , Red - Full bodied ,['2020'],Not found,4.4/5,['5868'], 750.00 ml , 13.5% ABV 
16, Il Papavero NV , Italy , Red - Medium Bodied ,[],£8.99,3.7/5,['1615'], 750.00 ml , 12.5% ABV 
17, The Great Bonza Reserve Shiraz Cabernet Sauvignon 2019 , Australia , Red - Medium to full bodied ,['2019'],£12.99,4.2/5,['510'], 750.00 ml , 14.0% ABV 
18, Farinelli Pinot Grigio 2021 , Italy , White - Dry ,['2021'],£7.99,4.0/5,['377'], 750.00 ml , 12.5% ABV 
19, Aluado Alicante Bouschet 2021 , Portugal , Red - Full bodied ,['2021'],£10.99,4.5/5,['1963'], 750.00 ml , 12.5% ABV 
20, Cabalié Blanc 2021 , France , White - Dry ,['2021'],£11.99,4.4/5,['1072'], 750.00 ml , 11.5% ABV 
21, Lobster Shack Sauvignon Blanc 2022 , South Africa , White - Dry ,['2022'],£10.99,4.3/5,['131'], 750.00 ml , 12.5% ABV 
22, Hacienda de Lluna Moscatel Rosado 2021 , Spain , Rosé - Medium Sweet ,['2021'],£5.29,4.1/5,['428'], 750.00 ml , 5.0% ABV 
23, Abbesse Sauvignon Blanc 2021 , France , White - Dry ,['2021'],£10.99,4.0/5,['1071'], 750.00 ml , 11.5% ABV 
24, Rapaura Springs Reserve Sauvignon Blanc 2021 , New Zealand , White - Dry ,['2021'],£18.99,4.6/5,['235'], 750.00 ml , 13.5% ABV 
25, Brezza Bianca Frizzante Prosecco NV , Italy , White - Dry ,[],£8.49,4.3/5,['244'], 750.00 ml , 11.0% ABV 
26, The Gooseberry Bush 2021 , South Africa , White - Dry ,['2021'],£10.99,4.1/5,['2254'], 750.00 ml , 12.0% ABV 
27, The Waxed Bat 2021 , Argentina , Red - Medium to full bodied ,['2021'],£11.99,4.1/5,['2647'], 750.00 ml , 14.0% ABV 
28, La Nantaise Réserve 2021 , France , White - Dry ,['2021'],£12.99,3.9/5,['168'], 750.00 ml , 12.0% ABV 
29, Wolf Point Sauvignon Blanc 2021 , Chile , White - Dry ,['2021'],£9.99,3.9/5,['464'], 750.00 ml , 12.5% ABV 
30, Cabalié Cuvée Vieilles Vignes 2021 , France , Red - Medium to full bodied ,['2021'],£14.99,4.5/5,['5295'], 750.00 ml , 13.0% ABV 
31, Château Grand Bourry Costières de Nîmes 2021 , France , Red - Medium Bodied ,['2021'],£11.99,4.0/5,[], 750.00 ml , 13.0% ABV 
32, Roche Lacour Crémant de Limoux 2020 , France , White - Dry ,['2020'],£15.99,4.5/5,['366'], 750.00 ml , 12.5% ABV 
33, Ognissole Organic Primitivo 2019 , Italy , Red - Full bodied ,['2019'],£16.99,3.8/5,['12'], 750.00 ml , 15.0% ABV 
34, Il Papavero Pinot Grigio 2021 , Italy , White - Dry ,['2021'],£10.99,4.0/5,['788'], 750.00 ml , 12.0% ABV 
35, The Hour-Teller Sauvignon Blanc 2021 , New Zealand , White - Dry ,['2021'],£14.99,4.2/5,['435'], 750.00 ml , 13.0% ABV 
36, Rocksand Shiraz 2020 , Portugal , Red - Full bodied ,['2020'],£11.99,4.5/5,['1230'], 750.00 ml , 14.5% ABV 
37, Rex Mundi Shiraz Grenache 2021 , France , Red - Medium to full bodied ,['2021'],£11.99,4.4/5,['2836'], 750.00 ml , 13.0% ABV 
38, Alessandro Gallici Pinot Grigio 2021 , Italy , White - Dry ,['2021'],£11.99,3.9/5,['1127'], 750.00 ml , 12.0% ABV 
39, Hole in the Clouds Sauvignon Blanc 2021 , New Zealand , White - Dry ,['2021'],£14.99,4.5/5,['619'], 750.00 ml , 13.0% ABV 
40, Opi Malbec 2021 , Argentina , Red - Medium to full bodied ,['2021'],£10.99,4.0/5,['2755'], 750.00 ml , 13.0% ABV 
41, La Voûte 2021 , France , White - Dry ,['2021'],£14.99,4.4/5,['197'], 750.00 ml , 14.0% ABV 
42, Bees Knees Chenin Blanc Viognier 2022 , South Africa , White - Dry ,['2022'],£11.99,4.1/5,['538'], 750.00 ml , 12.5% ABV 
43, Limited Release Syrah 2019 , Chile , Red - Medium to full bodied ,['2019'],£14.99,3.6/5,['26'], 750.00 ml , 13.5% ABV 
44, Didier Chopin Brut Champagne NV , France , White - Dry ,[],£19.99,4.2/5,['163'], 750.00 ml , 12.0% ABV 
45, Pillastro Primitivo 2021 , Italy , Red - Full bodied ,['2021'],£11.99,4.4/5,['5633'], 750.00 ml , 13.5% ABV 
46, McPherson The Full Fifteen 2021 , Australia , Red - Full bodied ,['2021'],£11.99,4.3/5,['2190'], 750.00 ml , 15.0% ABV 
47, The Huguenot Chenin Blanc 2022 , South Africa , White - Dry ,['2022'],£10.99,4.2/5,['532'], 750.00 ml , 12.5% ABV 
48, Stones & Bones 2020 , Portugal , Red - Full bodied ,['2020'],£11.99,4.2/5,['1755'], 750.00 ml , 14.0% ABV 
49, Lobo e Falcão 2021 , Portugal , Red - Full bodied ,['2021'],£11.99,4.4/5,['2061'], 750.00 ml , 13.5% ABV 
50, Barón de Barbón Oak Aged Rioja 2020 , Spain , Red - Full bodied ,['2020'],£11.99,3.7/5,['2837'], 750.00 ml , 14.0% ABV 
51, Clarendelle Bordeaux Inspired by Haut-Brion 2016 , France , Red - Medium Bodied ,['2016'],£19.99,4.0/5,[], 750.00 ml , 13.5% ABV 
52, Terres d'Arboras 2021 , France , Red - Medium to full bodied ,['2021'],£13.49,4.5/5,['72'], 750.00 ml , 13.0% ABV 
53, Vinha do Fava Touriga Nacional 2020 , Portugal , Red - Full bodied ,['2020'],£11.99,4.3/5,['2438'], 750.00 ml , 14.5% ABV 
54, Posada del Rey Tinto NV , Spain , Red - Medium Bodied ,[],£7.99,3.3/5,['639'], 750.00 ml , 13.5% ABV 
55, Cabalié Rosé 2021 , France , Rosé - Dry ,['2021'],£10.99,4.3/5,['380'], 750.00 ml , 12.0% ABV 
56, Baía de Tróia Castelão 2020 , Portugal , Red - Full bodied ,['2020'],£12.99,4.5/5,['567'], 750.00 ml , 15.0% ABV 
57, Moulin de Pontfract Rosé 2021 , France , Rosé - Dry ,['2021'],£12.99,4.2/5,['294'], 750.00 ml , 12.5% ABV 
58, w/o Organic Lucido 2021 ,See the full range, White - Dry ,['2021'],£11.99,4.4/5,['29'], 750.00 ml , 12.5% ABV 
59, The Raspberry Bush Rosé 2022 , South Africa , Rosé - Dry ,['2022'],£9.99,4.4/5,['47'], 750.00 ml , 14.0% ABV 
60, Viña del Portillo Reserva 2015 , Spain , Red - Medium to full bodied ,['2015'],£10.99,3.3/5,['19'], 750.00 ml , 14.0% ABV 
61, Cabalié 3 litre Wine Box 2021 , France , Red - Medium to full bodied ,['2021'],£30.00,4.8/5,['161'], 3000.00 ml , 13.0% ABV 
62, Ermita de San Lorenzo Gran Selección 2015 , Spain , Red - Medium to full bodied ,['2015'],£12.99,3.3/5,['404'], 750.00 ml , 14.0% ABV 
63, The Escapist Sauvignon Blanc 2021 , South Africa , White - Dry ,['2021'],£8.99,3.9/5,['54'], 750.00 ml , 12.5% ABV 
64, Alessandro Gallici Prosecco NV , Italy , White - Dry ,[],£15.49,4.5/5,['253'], 750.00 ml , 11.0% ABV 
65, Luigi e Lucina Pinot Grigio 2021 , Italy , White - Medium Dry ,['2021'],£8.99,4.0/5,['95'], 750.00 ml , 12.5% ABV 
66, Don Cayetano Chardonnay 2021 , Chile , White - Dry ,['2021'],£8.99,3.5/5,['150'], 750.00 ml , 13.0% ABV 
67, Tenuta Fenice Nero d’Avola 2021 , Italy , Red - Medium to full bodied ,['2021'],£11.99,4.1/5,['886'], 750.00 ml , 14.0% ABV 
68, Campanula Pinot Grigio 2021 , Hungary , White - Very Dry ,['2021'],£9.99,3.8/5,['1670'], 750.00 ml , 12.0% ABV 
69, Il Papavero Rosé Prosecco Brut 2021 , Italy , Rosé - Dry ,['2021'],£14.99,4.3/5,['107'], 750.00 ml , 11.5% ABV 
70, Farinelli Rosato NV , Italy , Rosé - Very Dry ,[],£7.99,4.1/5,['191'], 750.00 ml , 12.0% ABV 
71, Alessandro Gallici Frizzante NV , Italy , White - Dry ,[],Not found,4.2/5,['235'], 750.00 ml , 11.0% ABV 
72, Black Reds Mix ,Read more," Black Reds Mix The superstar style customers love more than any other – SAVE up to £92 on Black Reds What we call ‘Black Reds’ are the deepest, darkest wines in our range. This case features a selection of bestsellers, led by Australia’s super-juicy Black Stump Durif Shiraz and southern French favourite, Cabalié. Special mention too for El Bombero – it’s got a new look, but the quality is as high as ever. Save £92 on two cases. ",[],Not found,4.5,['7442'], 750.00 ml , 14.5% ABV 
73, w/o Frappato 2020 , Italy , Red - Medium Bodied ,['2020'],£11.99,3.9/5,['159'], 750.00 ml , 13.5% ABV 
74, Domaine Saint Martin Cabernet Sauvignon 2020 , France , Red - Medium Bodied ,['2020'],£9.99,3.4/5,['86'], 750.00 ml , 14.5% ABV 
75, Inca Tree Malbec 2019 , Argentina , Red - Light to Medium Bodied ,['2019'],£14.99,3.5/5,['50'], 750.00 ml , 14.0% ABV 
76, Dark Corner Durif Shiraz 2021 , Australia , Red - Full bodied ,['2021'],£11.99,4.4/5,['1955'], 750.00 ml , 14.5% ABV 
77, Finca Libertad Tinto NV , Spain , Red - Medium Bodied ,[],£8.49,3.3/5,['165'], 750.00 ml , 13.5% ABV 
78, Cabalié Cuvée Vieilles Vignes 2020 , France , Red - Medium to full bodied ,['2020'],£14.99,4.5/5,['5649'], 750.00 ml , 13.5% ABV 
79, Ringland Shiraz 2019 , Australia , Red - Medium to full bodied ,['2019'],£17.99,4.8/5,[], 750.00 ml , 15.0% ABV 
80, Collezione di Paolo Chianti 2020 , Italy , Red - Medium Bodied ,['2020'],£11.99,3.7/5,['387'], 750.00 ml , 13.0% ABV 
81, Edizione Speciale Numerata Chianti Numero 3 Particella 21 2020 , Italy , Red - Medium to full bodied ,"['21', '2020']",£16.99,4.2/5,['74'], 750.00 ml , 13.0% ABV 
82, Farinelli Bianco NV , Italy , White - Dry ,[],£7.99,3.8/5,['196'], 750.00 ml , 12.0% ABV 
83, Don Cayetano Sauvignon Blanc 2021 , Chile , White - Dry ,['2021'],£8.99,3.7/5,['226'], 750.00 ml , 12.0% ABV 
84, Château Le Coin Sauvignon Gris 2021 , France , White - Dry ,['2021'],£12.99,3.9/5,['336'], 750.00 ml , 12.5% ABV 
85, Concettina Rosso 2020 , Italy , Red - Medium to full bodied ,['2020'],£10.99,4.7/5,[], 750.00 ml , 13.5% ABV 
86, Il Sogno di Arianna Pinot Grigio 2021 , Italy , White - Dry ,['2021'],£9.99,4.1/5,['197'], 750.00 ml , 12.0% ABV 
87, Australian Reds Clearance Mix ,Read more," Australian Reds Clearance Mix BIN END DEAL: flavour-packed Aussie reds at special clearance prices Fans of Australia’s rip-roaring reds … step this way for a bargain! Whenever we get down to the very last bottles of a wine, we like to round them up and pin on a special low clearance price to see them off with a last hurrah. In this mix, you’ll find a selection of bin end beauties from Australia. Three bottles of four different wines, anything from bestsellers to hidden gems, with prices snipped down to make sure they clear. See below for the current lineup, and enjoy! ",[],Not found,3.9,['444'], 750.00 ml , 14.5% ABV 
88, El Bombero 2021 , Spain , Red - Full bodied ,['2021'],£10.99,3.9/5,['2112'], 750.00 ml , 14.5% ABV 
89, Pink Darner White Zinfandel 2021 , USA , Rosé - Medium ,['2021'],£7.99,4.3/5,['17'], 750.00 ml , 11.5% ABV 
90, Black Reds Clearance Mix ,Read more," Black Reds Clearance Mix CLEARANCE DEAL: deliciously rich Black Reds at special bin ends price We've rounded up the very last bottles of some fabulously rich Black Reds and pinned on a low clearance price to see them out with a 'last hurrah'. You can see below for the current lineup, but you can be sure that every bottle delivers the deep, intense flavours and dark colour our Black Reds are known and loved for. And you'll enjoy them at a bargain price too. ",[],Not found,3.6,['297'], 750.00 ml , 15.0% ABV 
91, The Forefather Gran Selección Malbec Shiraz 2020 , Argentina , Red - Full bodied ,['2020'],£14.99,4.0/5,['98'], 750.00 ml , 14.0% ABV 
92, Terra Batista Spumante Prosecco NV , Italy , White - Dry ,[],£13.99,4.4/5,['185'], 750.00 ml , 11.0% ABV 
93, La Belle Saison Sauvignon Blanc 2021 , France , White - Dry ,['2021'],£10.99,4.0/5,['471'], 750.00 ml , 9.5% ABV 
94, Le XV du Président 2021 , France , Red - Full bodied ,['2021'],£12.99,4.4/5,['760'], 750.00 ml , 14.0% ABV 
95, Albert Bichot Mâcon-Lugny Les Charmes 2020 , France , White - Dry ,['2020'],£17.99,3.8/5,['28'], 750.00 ml , 13.0% ABV 
96, Rex Mundi Vivant Sparkling Red 2020 , France , Red - Medium Bodied ,['2020'],£14.99,3.4/5,['36'], 750.00 ml , 13.0% ABV 
97, Lustrato Prosecco NV , Italy , White - Dry ,[],£12.99,3.8/5,[], 750.00 ml , 11.0% ABV 
98, PS Pétillant Rosé NV , France , Rosé - Dry ,[],£11.99,4.3/5,['268'], 750.00 ml , 11.0% ABV 
99, Wines of the Year Reds 2022 ,Read more," Wines of the Year Reds 2022 Meet the reds that have wowed the most this year … and SAVE up to £126 Wines of the Year is one of the biggest events in our calendar and we know customers enjoy the ‘big reveal’. Choosing the champions was a labour of love. We’ve been shortlisting since last Christmas, using factors like 5-star reviews, re-order rates and press acclaim. ‘Hot tickets’ like Portuguese Black Reds and French classics could earn bonus points. Then came a final re-tasting, to determine what’s drinking really well right now. And make no mistake, the winners are drinking BEAUTIFULLY. Every year customers stock up on the winners so we’ve also added a bulk deal to make it as convenient as possible. Take two cases and pay just £7.99 a bottle, saving £126, with FREE delivery included. Here’s to the winners! ",['2022'],Not found,4.5,['543'], 750.00 ml , 14.5% ABV 
100, Farinelli Rosso NV , Italy , Red - Medium Bodied ,[],£7.99,3.4/5,['304'], 750.00 ml , 12.5% ABV 
101, Aluado Alicante Bouschet Reserva 2019 , Portugal , Red - Full bodied ,['2019'],£16.99,4.3/5,['95'], 750.00 ml , 13.5% ABV 
102, Don Cayetano Merlot 2021 , Chile , Red - Medium Bodied ,['2021'],£8.99,3.4/5,['177'], 750.00 ml , 12.5% ABV 
103, McPherson Full Fifteen Sparkling Red 2021 , Australia , Red - Medium Bodied ,['2021'],£13.99,4.5/5,['130'], 750.00 ml , 14.5% ABV 
104, Il Papavero Pinot Grigio (1L Wine Box) 2021 , Italy , White - Dry ,['2021'],£9.49,/5,[], 1000.00 ml , 12.0% ABV 
105, Under the Lemon Tree Chenin Blanc 2022 , South Africa , White - Dry ,['2022'],£9.99,/5,[], 750.00 ml , 12.0% ABV 
106, Queen Bee Viognier 2022 , South Africa , White - Dry ,['2022'],£12.99,4.2/5,['521'], 750.00 ml , 13.0% ABV 
107, w/o Organic Nero d'Avola Rosato 2021 ,See the full range, Rosé - Dry ,['2021'],£11.99,4.5/5,['28'], 750.00 ml , 13.0% ABV 
108, Le Prince de Courthézon Côtes du Rhône 2020 , France , Red - Medium to full bodied ,['2020'],£12.99,3.8/5,['574'], 750.00 ml , 14.0% ABV 
109, L'Epiphanie de Bordeaux Blanc 2021 , France , White - Dry ,['2021'],£25.00,2.0/5,[], 750.00 ml , 12.5% ABV 
110, Il Papavero Primitivo 2020 , Italy , Red - Medium to full bodied ,['2020'],£10.99,4.1/5,['694'], 750.00 ml , 13.5% ABV 
111, Hand Select Cleanskin Cabernet Sauvignon 2021 , Australia , Red - Medium to full bodied ,['2021'],£16.99,3.7/5,[], 750.00 ml , 14.0% ABV 
112, Petticoat White Zinfandel 2021 , USA , Rosé - Medium ,['2021'],£10.99,3.8/5,['390'], 750.00 ml , 11.5% ABV 
113, Miravalles Estate Malbec 2021 , Argentina , Red - Medium to full bodied ,['2021'],£8.99,/5,[], 750.00 ml , 13.5% ABV 
114, Selección Especial Numerada 60 Albariño 2021 , Spain , White - Dry ,"['60', '2021']",£14.99,4.3/5,['111'], 750.00 ml , 12.5% ABV 
115, Le Champ des Etoiles Chardonnay 2021 , France , White - Dry ,['2021'],£11.99,3.9/5,['145'], 750.00 ml , 13.0% ABV 
116, Limited Release Elgin Sauvignon Blanc 2021 , South Africa , White - Dry ,['2021'],£14.99,4.1/5,[], 750.00 ml , 13.5% ABV 
117, Prosecco & More Six ,Read more," Prosecco & More Six Great Italian fizz including Prosecco – just £8.99 a bottle Italy’s best-known fizz is also the UK’s bestselling bubbly. We can’t get enough of Prosecco’s lemony aromas, orchard-fruit flavours and gentle bubbles. Here you have a pair of classics, including Casa Cantalini, plus Alessandro Gallici’s rule-breaking frizzante, enhanced with a dash of Chardonnay for richness. ",[],Not found,4.2,['235'], 750.00 ml , 11.0% ABV 
118, Laithwaites Sauvignon Blanc 2021 , France , White - Dry ,['2021'],£13.49,3.8/5,['544'], 750.00 ml , 11.5% ABV 
119, Yarrunga Field Special Reserve White 2021 , Australia , White - Dry ,['2021'],£10.49,3.7/5,['1105'], 750.00 ml , 11.0% ABV 
120, Hawker Corner Sauvignon Blanc 2020 , Australia , White - Dry ,['2020'],£12.99,2.3/5,[], 750.00 ml , 10.5% ABV 
121, Lobster Shack Chardonnay Viognier Chenin Blanc 2021 , South Africa , White - Medium Dry ,['2021'],£11.99,4.4/5,['340'], 750.00 ml , 13.5% ABV 
122, La Fonte d'Oro 2020 , Italy , Red - Medium to full bodied ,['2020'],£14.99,4.5/5,['242'], 750.00 ml , 14.0% ABV 
123, The Black Stump Reserve Shiraz 2021 , Australia , Red - Full bodied ,['2021'],£14.99,4.2/5,['728'], 750.00 ml , 14.5% ABV 
124, Casa Cantalini Prosecco Frizzante NV , Italy , White - Medium ,[],£12.99,3.6/5,['45'], 750.00 ml , 10.5% ABV 
125, The Patriots Merlot 2021 , Chile , Red - Medium Bodied ,['2021'],£9.99,3.5/5,['701'], 750.00 ml , 12.5% ABV 
126, Barón de Barbón Blanco 2021 , Spain , White - Very Dry ,['2021'],£11.99,4.0/5,['292'], 750.00 ml , 12.5% ABV 
127, Eylo 2021 , Spain , White - Dry ,['2021'],£11.99,3.9/5,['52'], 750.00 ml , 13.5% ABV 
128, Hunter's Sauvignon Blanc 2021 , New Zealand , White - Dry ,['2021'],£16.99,4.3/5,['153'], 750.00 ml , 13.5% ABV 
129, Boscwood SA Petit Verdot Shiraz 2020 , Australia , Red - Medium to full bodied ,['2020'],£12.99,3.8/5,['104'], 750.00 ml , 14.0% ABV 
130, The Dip 2020 , Spain , Red - Medium to full bodied ,['2020'],£10.99,4.2/5,['205'], 750.00 ml , 15.0% ABV 
131, Cleanskin SA Cabernet Sauvignon 2020 , Australia , Red - Medium to full bodied ,['2020'],£14.99,4.4/5,['23'], 750.00 ml , 14.0% ABV 
132, Mystery Case - Reds ,Click here," Mystery Case - Reds Ever-popular Mystery Cases in red - from JUST £6.99 a bottle Mystery Cases have always been popular, but they’ve recently turned into a bona fide super trend. With 12 delicious reds to discover in every case, they’re the perfect choice for the wine explorer. There’s so much to uncover. Great Bordeaux, Rioja, Aussie Shiraz, and more. The possibilities are endless and the savings are guaranteed, with some seriously special wines for you to find. As one delighted customer said: “A fabulous win. All the wines are really great.” Take any Mystery Case on its own and it’s just £7.99 a bottle, saving you at least £28 in the process. But add a Mystery Case to any other 12-bottle order and those savings shoot up – just £6.99 a bottle with minimum savings of at least £40. ",[],Not found,Not found,Not found,Not found,Not found
133, Domaine Alain Malet Réserve 2021 , France , White - Dry ,['2021'],£12.99,4.2/5,['29'], 750.00 ml , 13.0% ABV 
134, The Waxed Bat (half bottle) 2021 , Argentina , Red - Medium to full bodied ,['2021'],£5.99,/5,[], 375.00 ml , 14.0% ABV 
135, Château Le Coin Bordeaux 2020 , France , Red - Medium to full bodied ,['2020'],£13.99,3.7/5,['411'], 750.00 ml , 14.5% ABV 
136, Porrais Reserva 2021 , Portugal , White - Dry ,['2021'],£13.99,3.6/5,['41'], 750.00 ml , 12.0% ABV 
137, Aluado Chardonnay 2020 , Portugal , White - Dry ,['2020'],£10.99,4.1/5,['388'], 750.00 ml , 12.5% ABV 
138, Domaine Dampt Petit Chablis Vieilles Vignes 2021 , France , White - Dry ,['2021'],£17.99,4.2/5,['81'], 750.00 ml , 12.5% ABV 
139, Abbesse Sauvignon Blanc (half bottle) 2021 , France , White - Dry ,['2021'],£5.99,4.7/5,[], 375.00 ml , 11.5% ABV 
140, The Gooseberry Bush (3 litre Bag-in-Box) 2022 , South Africa , White - Dry ,['2022'],£25.00,3.5/5,[], 3000.00 ml , 11.5% ABV 
141, Méritoire Sauvignon Blanc 2020 , France , White - Dry ,['2020'],£10.99,3.3/5,['26'], 750.00 ml , 11.5% ABV 
142, HJ Fabre Barrel Selection Patagonia Malbec 2020 , Argentina , Red - Medium to full bodied ,['2020'],£17.99,4.2/5,['240'], 750.00 ml , 14.5% ABV 
143, Vertiges 2020 , France , Red - Medium Bodied ,['2020'],£12.49,4.0/5,['154'], 750.00 ml , 14.0% ABV 
144, Le Viti di Beatrice Gavi 2021 , Italy , White - Dry ,['2021'],£12.99,3.6/5,['28'], 750.00 ml , 12.5% ABV 
145, South African Whites Mix ,Read more," South African Whites Mix Taste why South Africa’s super-fresh whites are so popular right now – just £7.99 a bottle “Gorgeous, often underpriced” (FT), the quality of South African wine has never been better. Led by a secret-label Sauvignon Blanc from premium Elgin (normally £14.99) and No.1 bestselling The Gooseberry Bush, this new lineup features some of our most in-demand Cape whites. Great value at just £7.99 a bottle. ",[],Not found,4.4,['332'], 750.00 ml , 13.5% ABV 
146, Clearance Mix ,Read more," Clearance Mix End-of-line wines at one-off clearance prices – bag a bargain on bestsellers and more We’ve rounded up a delicious selection of odds and ends and put them together in this clearance collection, which means you get enjoy some seriously delicious wines – both in red and white – at low bin end prices. You can find the current lineup of the wines in your case below. But do hurry – once they’re gone, they’re gone! ",[],Not found,4.0,['138'], 750.00 ml , 14.0% ABV 
147, Elands Pass Cabernet Sauvignon 2020 , South Africa , Red - Medium to full bodied ,['2020'],£10.99,3.9/5,['64'], 750.00 ml , 14.0% ABV 
148, Pillastro Selezione d'Oro 2021 , Italy , Red - Full bodied ,['2021'],£15.49,4.5/5,['606'], 750.00 ml , 14.0% ABV 
149, Bellarine Bay Pinot Grigio 2021 , Australia , White - Dry ,['2021'],£11.49,3.6/5,['74'], 750.00 ml , 12.0% ABV 
150, Santa Magdalena Balduzzi 2020 , Chile , Red - Medium to full bodied ,['2020'],£11.99,4.3/5,['218'], 750.00 ml , 13.5% ABV 
151, Domaine Daniel Reverdy Sancerre 2021 , France , White - Dry ,['2021'],£21.00,3.0/5,[], 750.00 ml , 12.5% ABV 
